number,sentence,a1_settled_saying,a2_governing_object,a3_settlement_work,a4_range_scope,a5_governing_shape,a6_excluded_pull
1,Galway City Council approved the new transport plan yesterday.,Galway City Council approved the new transport plan yesterday.,The new transport plan’s approval by Galway City Council.,The sentence moves the plan from undecided or pending status into approved civic status.,The settlement holds within Galway City Council’s decision authority and is temporally bounded by yesterday.,An official civic decision lands on a transport plan.,Do not make “yesterday” or the council as institution the main settlement; the governing event is the approval of the plan.
2,The transport plan is now approved by Galway City Council.,The transport plan is now approved by Galway City Council.,The transport plan’s present approved status.,The sentence stabilizes the plan as approved rather than pending.,"The settlement holds now, under Galway City Council’s authority.",A plan remains in an approved civic condition.,Do not treat the sentence mainly as an action narrative; it foregrounds present status.
3,The Portershed is hosting an AI meetup this Thursday.,The Portershed is hosting an AI meetup this Thursday.,The AI meetup as an event hosted by the Portershed.,The sentence assigns hosting responsibility or event custody to the Portershed.,The settlement holds for the AI meetup and is bounded by this Thursday.,An event is placed under a host and time.,Do not make AI as a topic or the Portershed as a venue-name alone the governing settlement.
4,The AI meetup takes place at the Portershed this Thursday.,The AI meetup takes place at the Portershed this Thursday.,The meetup’s place-and-time occurrence.,The sentence locates and schedules the event.,"The settlement holds for this AI meetup, bounded by the Portershed and this Thursday.",A scheduled event lands in a specific venue and time.,Do not treat the Portershed as the actor; the sentence governs the event’s occurrence setting.
5,A startup joined the Portershed accelerator this month.,A startup joined the Portershed accelerator this month.,The startup’s entry into the Portershed accelerator.,The sentence moves the startup into accelerator membership or participation.,The settlement holds within the Portershed accelerator and is bounded by this month.,A startup crosses into programme participation.,Do not make the month or the startup category the main point; the governing settlement is joining.
6,The startup is part of the Portershed accelerator.,The startup is part of the Portershed accelerator.,The startup’s membership or inclusion status.,The sentence places the startup inside a larger accelerator structure.,The settlement holds within the Portershed accelerator’s programme or membership field.,A part-whole inclusion relation remains.,Do not read this as the event of joining; it settles present belonging.
7,The Galway Arts Festival begins next week.,The Galway Arts Festival begins next week.,The festival’s beginning.,The sentence places the festival at its point of commencement.,The settlement holds for the Galway Arts Festival and is bounded by next week.,A festival is set at an upcoming start.,Do not treat the sentence as describing the whole festival; it settles the beginning only.
8,The festival is open to the public.,The festival is open to the public.,Public access to the festival.,The sentence opens the festival beyond restricted attendance.,The settlement holds for the festival’s access condition.,An event remains publicly available.,Do not treat “open” as merely physical openness; the governing force is public accessibility.
9,Heavy rain caused flooding in parts of Galway this morning.,Heavy rain caused flooding in parts of Galway this morning.,The flooding as an effect of heavy rain.,The sentence establishes a cause producing a local result.,The settlement is bounded by parts of Galway and this morning.,A weather cause produces a flooding outcome in a bounded place and time.,Do not make Galway generally or rain generally the settlement; the sentence governs caused flooding.
10,Several roads remain closed because of flooding.,Several roads remain closed because of flooding.,The continuing closure of several roads.,The sentence preserves a closed-road condition under the cause of flooding.,The settlement holds for several roads and is bounded by the flooding condition.,A cause sustains an ongoing closure state.,Do not make flooding alone the main settlement; the sentence lands on roads remaining closed.
11,University of Galway researchers published a new AI study.,University of Galway researchers published a new AI study.,The publication of the new AI study.,The sentence brings the study into published status.,The settlement is bounded by the University of Galway researchers and the new AI study.,Researchers produce a published research object.,Do not make the university name or AI topic alone govern; the settlement is publication.
12,The study is publicly available.,The study is publicly available.,The study’s public access status.,The sentence opens the study to public access.,The settlement holds for the study as an accessible object.,A study remains available to the public.,Do not treat this as authorship or publication; it settles availability.
13,The ferry has departed for Inis Mór.,The ferry has departed for Inis Mór.,The ferry’s departed status toward Inis Mór.,The sentence moves the ferry out of its prior station into departure.,The settlement is bounded by the ferry’s route toward Inis Mór.,A completed departure is oriented toward a destination.,Do not treat arrival as settled; only departure toward Inis Mór is settled.
14,Visitors may board the next ferry after ticket inspection.,Visitors may board the next ferry after ticket inspection.,Permission for visitors to board the next ferry.,The sentence licenses boarding once inspection has been satisfied.,The settlement holds for visitors boarding the next ferry and is bounded by ticket inspection.,A condition-to-permission structure remains.,Do not make boarding unconditional; ticket inspection governs the permission.
